,GENuS_name,FAO_name,Calories,Protein,Fat,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Choline,Magnesium,Manganese,Saturated FA,Monounsaturated FA,Polyunsaturated FA,Omega-3 (USDA only),B12 (USDA only),Water/moisture,Ash,Refuse
0,Vegetables; fresh; nes,"Vegetables, fresh nes",34.35799188640974,2.9711006123184585,0.6066712830344827,5.8388749090142,36.2688504394929,190.8480110435152,11.352941176470589,177.91441244077077,3.2106933889614604,0.1840198625760649,115.44091182819473,2.3784922244766733,0.03394523326572008,18.303042596348885,58.51720757269777,0.06162677486206897,0.1363777889918864,0.5777576064969574,0.030995943204868155,1.285395537525355,9.699797160243408,0.08895943204868154,0.006809330628803245,0.0065091277890466535,0.012973630831643003,0.0,0.0,80.82090432878296,0.9138428536166329,3.1480730223123734
1,Fruit; tropical fresh; nes,"Fruit, tropical fresh nes",54.09090909090909,1.4005640437967914,1.099738986524064,11.992433155101605,91.32780748663102,25.08288770066845,1.0748663101604279,30.117290552566846,1.5711675579304814,0.07411764705882352,72.52032085561498,1.1192513368983956,0.01720855614973262,2.9368449197860964,28.637673796791447,0.21351693404812833,0.2250748663101604,0.7468805704491979,0.015561497326203209,0.2117647058823529,4.5133689839572195,0.01647058823529412,0.07171657754010695,0.14098930481283423,0.03223529411764706,0.0,0.0,73.38926916219252,0.5273262032085563,9.283422459893048
2,Beans,"Beans, dry",130.38482014388487,20.679424460431655,1.3334161886115108,22.95,1.0179856115107915,2.728537170309352,50.0,112.73875305791368,6.242783447151079,1.0925406722446043,328.0719424460432,3.3014388489208635,0.14432150776258995,5.056834532374101,306.06504011870504,0.3478124922877698,0.16674772516546763,1.4954028776978416,0.044626393784172665,7.942446043165468,24.876517411510793,0.1686546762589928,0.060043165467625885,0.026661870503597123,0.09237410071942447,0.0,0.0,11.639424460431654,3.1884172661870505,0.0
3,Fresh fruit; nes,"Fruit, fresh nes",46.39340206185567,1.4800649457113404,0.7224398625463917,9.934414836917528,32.56958762886598,25.53154639168041,1.3918718003092785,51.430351860927836,3.3843298969072166,0.06463917525773197,114.8752628628866,1.1814432989690722,0.03138144329896908,4.373298969072166,35.36904159185566,0.044371133989690725,0.04065979382474227,0.6908659793814435,0.011052214237113401,2.879381443298969,8.225058103505154,0.017278350515463916,0.012618556701030927,0.007824742268041238,0.01081443298969072,0.0,0.0,74.13487969360826,0.7519635477938145,3.443298969072165
4,Cabbages and other brassicas,Cabbages and other brassicas,13.718723404255318,1.763776595744681,0.2302127659574468,2.2379255319148936,42.40531914893617,174.07047872340425,6.653071774468086,88.77553191489362,1.2520212765957446,0.1306382978723404,75.94680851063829,0.6808510638297872,0.024707446808510634,17.56276595744681,37.50159574468085,0.04121985815957448,0.06889007092553193,0.3544929078191489,0.01725531914893617,2.3606382978723404,3.117021276595745,0.02696808510638298,0.004744680851063829,0.002478723404255319,0.012148936170212765,0.0,0.0,73.44808510638298,0.6119148936170212,2.9361702127659575
5,Chillies and peppers; green,"Chillies and peppers, green",17.418194444444442,1.5331944444444447,0.5537962962916666,3.070162037041667,89.69305555555555,105.63512731481944,5.319444444444445,21.5,1.264097222222222,0.13425925926388887,105.72222222222223,1.1162037037083334,0.034506944444444444,3.0541666666666667,73.57870370375001,0.09480555555555556,0.09336111111111112,0.8244583333333333,0.059125,0.8972222222222221,6.513888888888889,0.03281944444444444,0.011583333333333334,0.0047083333333333335,0.048152777777777774,0.0,0.0,76.00921296291666,0.638263888888889,2.0694444444444446
6,Chillies and peppers; green,"Chillies and peppers, dry",17.418194444444442,1.5331944444444447,0.5537962962916666,3.070162037041667,89.69305555555555,105.63512731481944,5.319444444444445,21.5,1.264097222222222,0.13425925926388887,105.72222222222223,1.1162037037083334,0.034506944444444444,3.0541666666666667,73.57870370375001,0.09480555555555556,0.09336111111111112,0.8244583333333333,0.059125,0.8972222222222221,6.513888888888889,0.03281944444444444,0.011583333333333334,0.0047083333333333335,0.048152777777777774,0.0,0.0,76.00921296291666,0.638263888888889,2.0694444444444446
7,Pumpkins; squash; and gourds,"Pumpkins, squash and gourds",12.906176470588235,0.8970588235294118,0.15161764705882352,2.415392156867647,12.641176470588235,145.59431372499998,2.411764705882353,22.95063725485294,0.7769117645882353,0.09955882352941177,66.72058823529412,0.6259803921617647,0.025529411764705884,3.9279411764705885,39.13235294117647,0.02835294117647059,0.050647058823529406,0.4373088235294118,0.00786764705882353,2.3661764705882353,4.25,0.00798529411764706,0.00725,0.00175,0.0035294117647058825,0.0,0.0,83.60906862750002,0.3639705882352941,1.2794117647058822
8,Lettuce and chicory,Lettuce and chicory,6.798852459016394,1.0575000001967214,0.17901639344262296,1.0979918030819673,7.822950819672131,126.72550091081968,11.311475409836065,35.70737704918032,0.7821065573278688,0.13378142077049182,79.97213114754099,0.4065573770491803,0.010491803278688525,10.38688524590164,37.60770491803278,0.03599999998360656,0.04791803288524591,0.21031147540983608,0.01237704918032787,4.229508196721311,2.0131147540983605,0.030508196721311474,0.00718032786885246,0.0014590163934426231,0.01650819672131148,0.0,0.0,75.16319672131148,0.6350819672131147,2.2295081967213113
9,Mangos; mangosteens; guavas,"Mangoes, mangosteens, guavas",32.2464406779661,0.623913713440678,0.2010741800508474,7.248813559322034,63.05338983050848,85.2443220338983,2.9533898305084745,12.584283513050849,0.3759322033898305,0.04608474576271187,63.96949152542373,0.9943502824745764,0.02019209038983051,3.9508474576271184,13.305084745762711,0.03442161016949152,0.041110169491525426,0.7835889830508472,0.01190395479661017,0.2576271186440678,6.169491525423729,0.0036101694915254235,0.012949152542372881,0.006389830508474577,0.014271186440677968,0.0,0.0,68.92984354627119,0.44197740113559325,1.7966101694915255
10,Rice (Milled Equivalent),Cereals (Rice Milled Eqv),242.28929824561402,7.17339161845614,0.9733797246491228,53.171929822807016,0.015789473684210527,0.43859649122807015,1.6666666666666667,29.090317924561404,1.7359683061929827,0.4570175438596492,50.55333496491228,0.703244887,0.023649122807017545,4.10701754385965,120.58947368421053,0.14952250238596493,0.04196875915789474,2.463879045614035,0.019526315789473683,0.0,6.140350877192983,0.052824561403508774,0.004403508771929824,0.006333333333333333,0.005894736842105263,0.0,0.0,11.747426897192982,0.6475438596491229,0.0
