,Unnamed: 0,GENuS_name,FAO_name,Protein,Carbohydrates,Vitamin C,Vitamin A,Folate,Calcium,Iron,Zinc,Potassium,Dietary Fiber,Copper,Sodium,Phosphorus,Thiamin,Riboflavin,Niacin,B6,Magnesium,servingSize
2,2,Beans,"Beans, dry",0.06527310166329016,0.01618210281695834,0.002523075274772007,0.0007022640962689253,0.02353775192837666,0.01677624848391578,0.05681418168607891,0.02180646968769846,0.013669533603812832,0.0223119336471426,0.0294780077174721,0.0006941629995140312,0.06812990436264746,0.05084201077033803,0.02591608793962956,0.019107989714717093,0.006902073838809965,0.013720105391968548,109.45927099841519
4,4,Cabbages and other brassicas,Cabbages and other brassicas,0.005634437433061642,0.0013215090004978548,0.06438320435234775,0.03137597921034542,0.0026869161746799542,0.010695658563374913,0.01088614639616007,0.002225385858991311,0.0026111359518628035,0.003909768507639378,0.00440570448378144,0.0018971631634197134,0.008464050333617582,0.005723176555443377,0.009049308655821122,0.0038014884141433928,0.002148648753342806,0.0014252685858528434,86.53148148148148
5,5,Chillies and peppers; green,"Chillies and peppers, green",0.002603088041229865,0.0009537293792680394,0.06982009220045483,0.010857559222272146,0.001135278256984943,0.0014103779740724071,0.005886981957251701,0.001206144480466744,0.0019145777536306258,0.0033741536575774625,0.0032467986791741687,0.00017445625211846933,0.008715404423963638,0.006884132860707657,0.006506267370634333,0.004629817596158456,0.0038426169524753613,0.001563860730312288,45.45739861523245
6,6,Chillies and peppers; green,"Chillies and peppers, dry",0.002603088041229865,0.0009537293792680394,0.06982009220045483,0.010857559222272146,0.001135278256984943,0.0014103779740724071,0.005886981957251701,0.001206144480466744,0.0019145777536306258,0.0033741536575774625,0.0032467986791741687,0.00017445625211846933,0.008715404423963638,0.006884132860707657,0.006506267370634333,0.004629817596158456,0.0038426169524753613,0.001563860730312288,45.45739861523245
7,7,Pumpkins; squash; and gourds,"Pumpkins, squash and gourds",0.0031281288303756883,0.0015407220839223222,0.024558465070738025,0.028685542808564363,0.0010595981469628194,0.003078699681389734,0.007402641662902952,0.0018362657733889968,0.0024812523818453173,0.003886633301415567,0.0049120009395758075,0.00046124299188307074,0.009509900303866402,0.004279724353341227,0.007243165764175247,0.005045840532095696,0.001063558071510028,0.002095606532183966,93.55122950819673
8,8,Lettuce and chicory,Lettuce and chicory,0.0034234159279937578,0.0006531487576123151,0.014691243736479627,0.023680139274115976,0.004557413249049968,0.004428823070436362,0.006938527153981584,0.0022893214732638565,0.002761160370182341,0.002359833308722153,0.0018979798890111535,0.00113070559885655,0.008526720946079279,0.005035759573116857,0.0063901550602162745,0.0022794115587955925,0.0015521408615359437,0.0009266876001545617,86.94736842105263
9,9,Mangos; mangosteens; guavas,"Mangoes, mangosteens, guavas",0.0034928181129195222,0.0072717068579111034,0.12461242952547272,0.027167922603017553,0.0020779442171437322,0.0027176650591097837,0.005794502065364169,0.001368933045478165,0.003805189072490906,0.00970476262978955,0.006214616020120432,0.0007450413852202568,0.0052838795748202955,0.008226771364620989,0.009374107983896856,0.014036077564689166,0.0025721745994188357,0.004839460500773028,150.39871495327102
10,10,Rice (Milled Equivalent),Cereals (Rice Milled Eqv),0.010143550847766209,0.01349269962806716,1.4069439988600994e-05,4.029906376398764e-05,0.00030596354314770555,0.0016348827687817024,0.006904953827247616,0.0034898696825106834,0.0007883793615558837,0.001833583138485642,0.0019177192918908403,0.00020113582264313164,0.012087906723134279,0.009225605420121333,0.002546325641264446,0.011549978734355062,0.0010996263903019648,0.001265489036206868,38.97783534830167
11,11,Rice (Milled Equivalent),"Rice, paddy",0.02072931772223113,0.02721706361279224,2.9976027994541336e-05,8.585058695039238e-05,0.0006510625669599895,0.003459231340167183,0.014294653946092716,0.007326826963432412,0.0016741405615497888,0.0038763969012276366,0.004052827836564389,0.00042819121943645275,0.024515768688023912,0.01892198617552582,0.005367057470060597,0.02347380225772543,0.002331983785393958,0.0026818364947960183,83.05031017369727
12,12,Spices; nes,"Spices, nes",0.0146377983687839,0.009964548989054352,0.026849323943402118,0.015764869130060158,0.016500571400100875,0.0374450525460205,0.07262201676473676,0.016897069242665208,0.012521054383626922,0.03244792785033271,0.036727325083253805,0.0021532305437903902,0.01951979917488529,0.014153559721160208,0.020327085128198464,0.020995484692986843,0.024965825408170165,0.02922319832745831,43.77648083623694
13,13,Roots and tubers; nes,"Roots and Tubers,Total",0.007732347428191768,0.008608321336856694,0.026168562121742466,0.0039629020066006045,0.003879821658584359,0.004871792145290137,0.025447423234514543,0.0011525616305057473,0.0032874771200527408,0.004774859906437685,0.003924354949418543,0.00040302574919779977,0.015194732737892394,0.010124170356956185,0.009327598219826028,0.011451379478642667,0.00252886983602312,0.0028955074553920976,113.1978417266187
14,14,Oilcrops Oil; Other,"Oilcrops, Oil Equivalent",0.00013609228524523776,1.2153969637592226e-05,4.2646786780769326e-06,0.001916463822061954,4.39794765825275e-06,4.87075206721914e-05,0.00039620165973631034,0.00014991018311211692,6.737221593821967e-06,0.0,0.0,7.623015795201701e-06,7.788473411496542e-05,0.00018344156001976253,0.0005369266352584704,0.0001773258708614203,1.2178571675827895e-05,1.4865710248683882e-05,48.50114942528736
15,15,Oranges; Mandarines,Oranges,0.004097224973651072,0.004377741452058714,0.08615174851070671,0.013804963894691422,0.0017985856961148091,0.0052753615450475385,0.0056757749148461925,0.0006035040323366307,0.0022737639477440077,0.003045978890164551,0.001999307897623788,0.00015723909154588328,0.00564635190895005,0.012232178448680835,0.007362133181432405,0.01972934108440391,0.001555890896335652,0.0008675299827949332,154.55119180633145
